Unnamed: 0,IMMAGINE,DOMANDA,RISPOSTA 1,V/F,RISPOSTA 2,V/F.1,RISPOSTA 3,V/F.2,TEMA
248,,"Determinare, con la dovuta approssimazione, la quantità di carburante (comprensiva del 30% relativa alla riserva) necessaria ad un’unità navale da diporto per compiere 150 miglia nautiche in sicurezza, conoscendone il consumo orario (40 l/h) e la velocità di crociera (25 nodi).",240 litri.,F,120 litri.,F,312 litri.,V,MOTORI
249,,"Determinare, con la dovuta approssimazione, la quantità di carburante (comprensiva del 30% relativa alla riserva) necessaria ad un’unità navale da diporto per compiere 180 miglia nautiche in sicurezza, conoscendone il consumo orario (31 l/h) e la velocità di crociera (30 nodi).",186 litri.,F,242 litri.,V,372 litri.,F,MOTORI
251,,Per calcolare correttamente la quantità di carburante da imbarcare sulla mia unità devo moltiplicare:,il consumo orario per le ore di navigazione e aggiungere il 30%.,V,il consumo orario per le miglia da percorrere e aggiungere il 30%.,F,il consumo orario per la velocità (nodi) e aggiungere il 30%.,F,MOTORI
252,,"Determinare, con la dovuta approssimazione, la quantità di carburante (comprensiva del 30% relativa alla riserva) necessaria ad un’unità navale da diporto per compiere una navigazione in sicurezza in un tempo di 4 ore, conoscendo il consumo orario (24 litri/h) del motore installato a bordo.",125 litri.,V,96 litri.,F,106 litri.,F,MOTORI
253,,"Determinare, con la dovuta approssimazione, la quantità di carburante (comprensiva del 30% relativa alla riserva) necessaria ad un’unità navale da diporto per compiere una navigazione in sicurezza in un tempo di 5 ore, conoscendo il consumo orario (32 litri/h) del motore installato a bordo.",185 litri.,F,208 litri.,V,160 litri.,F,MOTORI
254,,"Determinare, con la dovuta approssimazione, la quantità di carburante (comprensiva del 30% relativa alla riserva) necessaria ad un’unità navale da diporto per compiere una navigazione in sicurezza in un tempo di 6 ore, conoscendo il consumo orario (18 litri/h) del motore installato a bordo.",108 litri.,F,140 litri.,V,54 litri.,F,MOTORI
255,,"Determinare, con la dovuta approssimazione, la quantità di carburante (compresa del 30% relativa alla riserva) necessaria ad un’unità navale da diporto per compiere una navigazione in sicurezza in un tempo di 7 ore, conoscendo il consumo orario (27 litri/h) del motore installato a bordo.",246 litri.,V,350 litri,F,189 litri.,F,MOTORI
256,,"Determinare, con la dovuta approssimazione, la quantità di carburante (compresa del 30% relativa alla riserva) necessaria ad un’unità navale da diporto per compiere una navigazione in sicurezza in un tempo di 9 ore, conoscendo il consumo orario (19 litri/h) del motore installato a bordo.",171 litri,F,222 litri.,V,198 litri.,F,MOTORI
258,,"Determinare, con la dovuta approssimazione, la quantità di carburante (comprensiva del 30% relativa alla riserva) necessaria ad un’unità navale da diporto per compiere una navigazione in sicurezza in un tempo di 3 ore, conoscendo il consumo orario (47 litri/h) del motore installato a bordo.",141 litri,F,183 litri.,V,155 litri.,F,MOTORI
259,,"Essendo noti i dati relativi alla lunghezza del percorso da effettuare (90 miglia nautiche), la velocità di crociera (30 nodi) ed il corrispondente consumo orario (28 l/h), determinare la quantità di carburante relativa alla riserva che dovrà essere imbarcata a bordo di un’unità.",25 litri.,V,75 litri.,F,8 litri.,F,MOTORI
260,,"Essendo noti i dati relativi alla lunghezza del percorso da effettuare (84 miglia nautiche), la velocità di crociera (21 nodi) ed il corrispondente consumo orario (18 l/h), determinare la quantità di carburante relativa alla riserva che dovrà essere imbarcata a bordo di un’unità.",72 litri.,F,22 litri.,V,33 litri.,F,MOTORI
261,,"Essendo noti i dati relativi alla lunghezza del percorso da effettuare (100 miglia nautiche), la velocità di crociera (40 nodi) ed il corrispondente consumo orario (60 l/h), determinare la quantità di carburante relativa alla riserva che dovrà essere imbarcata a bordo di un’unità navale.",150 litri.,F,90 litri.,F,45 litri.,V,MOTORI
262,,"Essendo noti i dati relativi alla lunghezza del percorso da effettuare (54 miglia nautiche), la velocità di crociera (18 nodi) ed il corrispondente consumo orario (30 l/h), determinare la quantità di carburante relativa alla riserva che dovrà essere imbarcata a bordo di un’unità navale.",27 litri.,V,9 litri.,F,65 litri.,F,MOTORI
263,,"Essendo noti i dati relativi alla lunghezza del percorso da effettuare (150 miglia nautiche), la velocità di crociera (30 nodi) ed il corrispondente consumo orario (16 l/h), determinare la quantità di carburante relativa alla riserva che dovrà essere imbarcata a bordo di un’unità navale.",8 litri.,F,24 litri.,V,55 litri.,F,MOTORI
265,,"Essendo noti i dati relativi alla lunghezza del percorso da effettuare (48 miglia nautiche), la velocità di crociera (12 nodi) ed il corrispondente consumo orario (26 l/h), determinare la quantità di carburante relativa alla riserva che dovrà essere imbarcata a bordo di un’unità navale.",45 litri.,F,10 litri.,F,31 litri.,V,MOTORI
266,,"Essendo noti i dati relativi alla lunghezza del percorso da effettuare (68 miglia nautiche), la velocità di crociera (12 nodi) ed il corrispondente consumo orario (12 l/h), determinare la quantità di carburante relativa alla riserva che dovrà essere imbarcata a bordo di un’unità navale.",102 litri.,F,20 litri.,V,61 litri,F,MOTORI
267,,"Per quali classi di incendio (A, B, C, D) risulta idoneo l'impiego dell'estintore a polvere?",tutte le classi.,V,fuochi da solidi e fuochi da gas.,F,fuochi da liquidi.,F,SICUREZZA DELLA NAVIGAZIONE
268,,Per quale tipologia di incendio risulta idoneo l'impiego dell'estintore a schiuma?,fuochi da impianti elettrici.,F,fuochi da gas.,F,fuochi da solidi e fuochi da liquidi.,V,SICUREZZA DELLA NAVIGAZIONE
269,,Quali estintori devono essere omologati a norma CE?,tutti.,V,solo quelli a CO2.,F,nessuno.,F,SICUREZZA DELLA NAVIGAZIONE
271,,"Avuto riguardo alla prevenzione sugli incendi, quale tra queste affermazioni è corretta?","determinate sostanze, quali stracci unti di olio abbandonati in coperta, possono raggiungere rapidamente la temperatura di infiammabilità determinando una combustione spontanea financo l'esplosione.",F,"determinate sostanze, quali stracci unti di olio abbandonati in coperta, possono raggiungere rapidamente la temperatura di ignizione determinando una combustione spontanea.",F,"determinate sostanze, quali stracci unti di olio abbandonati nel vano motore o in gavoni scarsamente ventilati, possono riscaldarsi lentamente determinando una combustione spontanea.",V,SICUREZZA DELLA NAVIGAZIONE
272,,Quale mezzo antincendio risulta più opportuno impiegare per estinguere incendi generati da apparecchiature o quadri elettrici?,acqua di mare.,F,estintore a polvere ad anidride carbonica.,V,estintore a schiuma.,F,SICUREZZA DELLA NAVIGAZIONE
273,,Quale tra queste affermazioni è corretta?,il getto degli estintori a schiuma deve essere diretto alla base delle fiamme e non deve essere impiegato per estinguere incendi di materiale elettrico sotto tensione.,V,il getto degli estintori a schiuma deve essere diretto verso la superficie delle fiamme ed impiegato principalmente per estinguere incendi di materiale elettrico sotto tensione.,F,"l'estintore ad anidride carbonica va utilizzato solo all'aperto, perché agisce per raffreddamento.",F,SICUREZZA DELLA NAVIGAZIONE
274,,Utilizzo dell'acqua per spegnere fuochi da metalli:,non ottengo lo spegnimento.,F,è un utilizzo efficace.,F,è un utilizzo pericoloso.,V,SICUREZZA DELLA NAVIGAZIONE
275,,Da cosa è generato un incendio di classe B?,da apparecchiature elettriche in tensione.,F,da gas infiammabili.,F,da liquidi infiammabili.,V,SICUREZZA DELLA NAVIGAZIONE
277,,Viene introdotta aria in un locale aggredito da incendio:,non accade nulla di nuovo.,F,il locale si raffredda.,F,si alimenta l'incendio.,V,SICUREZZA DELLA NAVIGAZIONE
278,,La sigla 13B sugli estintori indica:,la classe di costruzione e confezionamento secondo la normativa CE.,F,dopo quanti mesi va revisionato.,F,classe di incendio e capacità estinguente.,V,SICUREZZA DELLA NAVIGAZIONE
279,,Gli estintori a polvere si utilizzano per:,"estinguere incendi di sostanze liquide o gassose, nonché incendi di apparecchiature elettriche sotto tensione.",V,estinguere incendi di sostanze solide.,F,estinguere incendi di materiale in vetroresina o in legno.,F,SICUREZZA DELLA NAVIGAZIONE
280,,L'estintore a CO2 è utilizzabile per incendi di:,materiali solidi o metalli combustibili.,F,gas inerti idraulici e materiali solidi.,F,liquidi infiammabili e materiali elettrici sotto tensione.,V,SICUREZZA DELLA NAVIGAZIONE
281,,Da cosa è generato un incendio di classe E?,da liquidi infiammabili.,F,da apparecchiature elettriche in tensione.,V,da combustibili solidi.,F,SICUREZZA DELLA NAVIGAZIONE
282,,Un estintore a schiuma è utilizzabile per incendi:,delle classi A e B.,V,di classe E.,F,di tutti i tipi.,F,SICUREZZA DELLA NAVIGAZIONE
284,,Da cosa è generato un incendio di classe A?,da combustibili solidi.,V,da alcuni particolari metalli infiammabili.,F,da gas infiammabili.,F,SICUREZZA DELLA NAVIGAZIONE
285,,L'incendio di gas infiammabili è un incendio di:,classe A.,F,classe B.,F,classe C.,V,SICUREZZA DELLA NAVIGAZIONE
286,,Per incendi da gas e da impianti elettrici (classi C ed E) è preferibile utilizzare:,un estintore a schiuma.,F,un estintore a CO2.,V,un estintore a polvere.,F,SICUREZZA DELLA NAVIGAZIONE
287,,Principio d’incendio all'apparato radio VHF:,si getta una secchiata d’acqua fresca sull’apparato radio.,F,si rimuove la radio il più velocemente possibile e la si getta in acqua.,F,si raffredda la radio utilizzando l’estintore ad anidride carbonica (CO2).,V,SICUREZZA DELLA NAVIGAZIONE
288,,Utilizzo dell'acqua per spegnere un incendio da impianti elettrici (classe E):,non ottengo lo spegnimento.,F,è un utilizzo molto pericoloso.,V,è un utilizzo efficace.,F,SICUREZZA DELLA NAVIGAZIONE
289,,Ogni quanto tempo va revisionato un estintore?,ogni 4 anni.,F,quando la lancetta del manometro è sul rosso.,V,ogni 2 anni.,F,SICUREZZA DELLA NAVIGAZIONE
291,,Va revisionato un estintore?,"sì, ogni 2 anni.",F,"sì, ogni anno.",F,"mai, salvo che non sia stato utilizzato o vi sia stata perdita di pressione, è sufficiente verificare periodicamente che la lancetta del manometro stia sul verde.",V,SICUREZZA DELLA NAVIGAZIONE
292,,Ogni quanto tempo si deve sostituire un estintore?,ogni 2 anni.,F,ogni anno.,F,quando è in cattivo stato.,V,SICUREZZA DELLA NAVIGAZIONE
293,,"Quali sono gli elementi del cosiddetto ""triangolo del fuoco"" che alimentano un incendio?","combustione, estinzione, reazione.",F,"estintore, pressione, schiuma.",F,"combustibile, comburente, calore.",V,SICUREZZA DELLA NAVIGAZIONE
294,,Come si può estinguere un incendio?,esponendo la fiamma all'aria aperta.,F,se piove.,F,abbassando sensibilmente la temperatura.,V,SICUREZZA DELLA NAVIGAZIONE
295,,Un incendio si estingue:,mancando l'ossigeno.,V,aumentando la temperatura.,F,aumentando la forza del vento.,F,SICUREZZA DELLA NAVIGAZIONE
296,,Come può definirsi la combustione?,"l'improvvisa emissione di gas inerte da parte di un liquido, generata da un'istantanea variazione di temperatura.",F,la reazione chimica che produce calore e che avviene tra il comburente ed il combustibile.,V,la reazione meccanica che produce una variazione di temperatura e che avviene tra un liquido più caldo e un solido più freddo.,F,SICUREZZA DELLA NAVIGAZIONE
298,,Da che cosa dipende la maggiore o minore combustibilità di un liquido?,dalla temperatura di infiammabilità del liquido.,V,dalla temperatura dei solidi con cui il liquido viene a contatto.,F,"dalla temperatura alla quale il liquido sublima, cioè passa dallo stato solido a quello aeriforme senza passare attraverso la fase liquida.",F,SICUREZZA DELLA NAVIGAZIONE
299,,Il numero e il posizionamento degli estintori di una unità marcata CE è stabilito dalle ordinanze dell'Autorità marittima?,si.,F,"no, è stabilito dal proprietario",F,"no, stabilito nel Manuale del proprietario.",V,SICUREZZA DELLA NAVIGAZIONE
300,,Per le imbarcazioni da diporto NON marcata CE (immesse sul mercato prima del 17 giugno 1998):,il numero e il posizionamento degli estintori non è stabilito.,F,il numero e il posizionamento degli estintori è fissato dal Regolamento di attuazione al Codice della nautica secondo la potenza del motore e prevede un minimo di 1 estintore al posto di guida e 1 estintore in ciascuno degli altri locali.,V,"il numero e il posizionamento degli estintori è stabilito dalle ordinanze dell'Autorità marittima, con il minimo di 1 estintore.",F,SICUREZZA DELLA NAVIGAZIONE
301,,Cos'è il comburente?,"la sostanza che alimenta la combustione mediante ossidazione del combustibile, generalmente l'ossigeno.",V,il materiale infiammabile.,F,il nome della fiamma.,F,SICUREZZA DELLA NAVIGAZIONE
302,,"Chiunque assume o ritiene il comando o la condotta ovvero la direzione nautica di un'unità da diporto in stato di ebbrezza è punito,",con una sanzione amministrativa che varia da 1.000 euro a 5.000 euro in relazione al tasso alcolemico rilevato e la sanzione accessoria della revisione parziale della patente nautica prima della scadenza.,F,con una sanzione amministrativa che varia da 500 euro a 1.500 euro qualunque sia il tasso alcolemico rilevato.,F,con una sanzione amministrativa che varia da 2.755 euro a 15.000 euro in relazione al tasso alcolemico rilevato.,V,SICUREZZA DELLA NAVIGAZIONE
304,,Circa la condotta di un'unità da diporto in stato di ebbrezza:,"è sempre disposta la sospensione della patente nautica da 3 mesi a 24 mesi, in relazione al tasso alcolemico rilevato.",V,è disposta la sospensione della patente nautica da 3 mesi a 24 mesi in caso di sinistro marittimo.,F,è disposta la sospensione della patente nautica da 3 mesi a 24 mesi solo se ne deriva danno o pericolo di danno ambientale.,F,SICUREZZA DELLA NAVIGAZIONE
305,,In caso di conduzione sotto l'influenza dell'alcool di unità da diporto adibita a noleggio:,"le sanzioni previste sono aumentate di un terzo, qualora sia stato accertato un valore corrispondente a un tasso alcolemico superiore a 0,5 e non superiore a 0,8 grammi per litro.",V,"le sanzioni previste sono aumentate solo qualora sia stato accertato un valore corrispondente a un tasso alcolemico superiore a 1,5 grammi per litro.",F,è disposta la vendita coatta dell'unità da diporto.,F,SICUREZZA DELLA NAVIGAZIONE
306,,La sanzione per chi assume il comando o la condotta di un'unità da diporto in stato di alterazione psico-fisica:,raddoppia in caso di sinistro.,V,è stabilita dalla Capitaneria di porto all'atto del fermo.,F,aumentata del 25% in caso di sinistro.,F,SICUREZZA DELLA NAVIGAZIONE
307,,L'assunzione di farmaci sedativi:,non compromette le facoltà mentali se si soffre d'ansia.,F,ha effetti molto pericolosi se contemporaneamente si assumono bevande alcoliche.,V,aiuta la concentrazione specialmente di notte.,F,SICUREZZA DELLA NAVIGAZIONE
308,,In caso di assunzione di una quantità eccessiva di bevande alcoliche:,si recupera velocemente l'idoneità fisica se si assume caffè amaro.,F,si ha un livello di attenzione molto basso.,V,si recupera velocemente l'idoneità fisica se si assumono cibi piuttosto salati.,F,SICUREZZA DELLA NAVIGAZIONE
309,,"A bordo del natante da diporto, durante la navigazione entro le 6 miglia dalla costa, quanti estintori devono essere presenti a bordo?",almeno 1.,V,non meno di 2.,F,non più di 4.,F,SICUREZZA DELLA NAVIGAZIONE
311,,"La ""boetta fumogena arancione"" è un segnale:",diurno.,V,notturno.,F,che si può utilizzare solo in presenza di nebbia.,F,SICUREZZA DELLA NAVIGAZIONE
312,,"Secondo il regolamento di attuazione del codice della nautica da diporto, quali sono i mezzi individuali di salvataggio?",apparecchi galleggianti per tutte le persone imbarcabili a bordo.,F,cinture di salvataggio (giubbotti) per ogni persona imbarcata.,V,zattere di salvataggio per tutte le persone imbarcabili a bordo.,F,SICUREZZA DELLA NAVIGAZIONE
313,,"In base alla Tabella delle dotazioni di sicurezza minime da tenere a bordo (Allegato V al DM 146/2008), i fanali regolamentari di navigazione sono obbligatoriamente prescritti:",in navigazione notturna entro 1 miglio dalla costa.,F,in navigazione notturna oltre 1 miglio dalla costa.,V,"comunque e sempre, a prescindere dal tipo di navigazione effettuata.",F,SICUREZZA DELLA NAVIGAZIONE
314,,Quante boette fumogene deve mantenere a bordo un natante da diporto che naviga entro le 3 miglia nautiche dalla costa?,2,F,3,F,1,V,SICUREZZA DELLA NAVIGAZIONE
315,,L’obbligo di legge di avere una cintura di salvataggio per ogni persona imbarcata è prescritto:,non è prescritto per i natanti da diporto a motore.,F,per ogni tipo di navigazione oltre i 300 metri dalla costa.,V,per la navigazione entro le 12 miglia dalla costa.,F,SICUREZZA DELLA NAVIGAZIONE
316,,"Per le imbarcazioni da diporto in navigazione entro le 3 miglia dalla costa, quale mezzo collettivo di salvataggio è prescritto?",non è previsto il mezzo collettivo di salvataggio.,V,1 zattera di salvataggio costiera.,F,1 zattera di salvataggio omologata.,F,SICUREZZA DELLA NAVIGAZIONE
318,,"Navigando entro le 3 miglia dalla costa, si deve tenere a bordo dell'unità:",il mezzo collettivo di salvataggio.,F,1 boetta fumogena e 2 fuochi a mano a luce rossa.,V,i 2 razzi a paracadute a luce rossa.,F,SICUREZZA DELLA NAVIGAZIONE
319,,In navigazione entro 300 metri dalla costa non vi è obbligo di alcuna dotazione di sicurezza e di salvataggio. Quanto detto vale anche per la navigazione nei fiumi?,"si, in quanto trattasi di navigazione fluviale, essa è considerata più sicura
rispetto alla navigazione in mare.",F,"no, bisogna avere a bordo almeno 1 salvagente anulare con cima e cinture di salvataggio per ogni persona presente a bordo.",V,"no, sono sufficienti almeno 2 salvagenti anulari con cima.",F,SICUREZZA DELLA NAVIGAZIONE
320,,"Normalmente, qual è la portata in miglia dei fuochi a mano a luce rossa?",7 miglia.,F,6 miglia.,V,5 miglia.,F,SICUREZZA DELLA NAVIGAZIONE
321,,"Normalmente, di quanto è la portata notturna in miglia dei razzi a paracadute a luce rossa?",6 miglia.,F,7 miglia.,F,25 miglia.,V,SICUREZZA DELLA NAVIGAZIONE
322,,Quanti fuochi a mano a luce rossa deve mantenere a bordo un'imbarcazione da diporto che naviga entro le 6 miglia nautiche dalla costa?,2,V,3,F,4,F,SICUREZZA DELLA NAVIGAZIONE
323,,"Su un’unità con a bordo 4 persone, abilitata al trasporto di 8 persone, quante cinture di salvataggio devono essere presenti?",12,F,8,F,4,V,SICUREZZA DELLA NAVIGAZIONE
325,,"Il fumo emesso dalla boetta fumogena, una volta attivata, è di colore:",rosso.,F,giallo.,F,arancione.,V,SICUREZZA DELLA NAVIGAZIONE
326,,"In genere, che scadenza hanno i segnali di emergenza e soccorso come i fuochi a mano, i razzi a paracadute e le boette fumogene?",ogni 10 anni,F,ogni anno,F,ogni 4 anni,V,SICUREZZA DELLA NAVIGAZIONE
327,,La quantità di cinture di salvataggio da tenere a bordo:,deve essere il 20% in più del numero massimo di persone imbarcabili.,F,è in relazione al numero di persone imbarcate.,V,è in relazione al numero massimo di persone imbarcabili.,F,SICUREZZA DELLA NAVIGAZIONE
328,,"Normalmente, qual è all'incirca la portata diurna dei razzi a paracadute a luce rossa?",9 miglia.,F,7 miglia.,V,5 miglia.,F,SICUREZZA DELLA NAVIGAZIONE
329,,"Normalmente, qual è la durata di accensione dei razzi a paracadute a luce rossa utilizzata da un'imbarcazione da diporto?",circa 2 minuti.,F,circa 3 minuti.,F,meno di 1 minuto.,V,SICUREZZA DELLA NAVIGAZIONE
330,,Su quale documento è riportato il numero delle persone trasportabili sui natanti da diporto prodotti in serie?,certificato di stazza.,F,certificazione di omologazione.,V,manuale del proprietario.,F,SICUREZZA DELLA NAVIGAZIONE
332,,A che distanza dalla costa i conduttori di tavole a vela hanno l'obbligo di indossare il mezzo di salvataggio individuale?,entro 1 miglia dalla costa.,F,indipendentemente dalla distanza dalla costa.,V,entro 300 metri dalla costa.,F,SICUREZZA DELLA NAVIGAZIONE
333,,"I conduttori di tavole a vela, acquascooter e unità similari:","indossano permanentemente un mezzo di salvataggio individuale, comprese le persone trasportate, indipendentemente dalla distanza dalla costa in cui la navigazione si svolge.",V,"indossano permanentemente un mezzo di salvataggio individuale, indipendentemente dalla distanza dalla costa in cui la navigazione si svolge, a esclusione delle persone trasportate.",F,"indossano permanentemente un mezzo di salvataggio individuale, esclusivamente in navigazione entro le sei miglia nautiche dalla costa, incluse le persone trasportate.",F,SICUREZZA DELLA NAVIGAZIONE
334,,Dove è possibile convalidare il certificato di sicurezza?,presso qualsiasi agenzia di sicurezza per la navigazione.,F,non è possibile convalidare il certificato di sicurezza.,F,presso qualsiasi STED (Sportello Telematico del Diportista) in seguito alla visita ispettiva dell'Organismo tecnico.,V,SICUREZZA DELLA NAVIGAZIONE
335,,Un'unità da diporto deve essere sottoposta a visita occasionale:,solo se l'unità viene messa a mare dopo essere stata a secco.,F,solo se l'unità viene fermata per un controllo della Capitaneria di porto - Guardia costiera.,F,"a seguito di danni o mutamenti dello scafo o dell'apparato motore, se sono mutate le condizioni di navigabilità o di sicurezza.",V,SICUREZZA DELLA NAVIGAZIONE
336,,"Un'imbarcazione da diporto munita di marcatura CE, è soggetta a visite:",periodiche ed occasionali.,V,solo su richiesta dell'Autorità marittima.,F,in caso di ritiro della licenza di navigazione.,F,SICUREZZA DELLA NAVIGAZIONE
337,,Quali unità da diporto sono soggette alle visite periodiche di sicurezza?,solo le imbarcazioni da diporto.,F,solo i natanti da diporto.,F,solo le imbarcazioni e le navi da diporto.,V,SICUREZZA DELLA NAVIGAZIONE
339,,Il certificato di sicurezza per imbarcazioni da diporto è rilasciato:,"dall'Archivio telematico delle unità da diporto attraverso lo STED, Sportello telematico del diportista",V,dalla ditta costruttrice.,F,dall'Organismo tecnico notificato o autorizzato.,F,SICUREZZA DELLA NAVIGAZIONE
340,,"Nel corso della visita iniziale di sicurezza, l'Organismo tecnico notificato o autorizzato:",rilascia la licenza di esercizio RTF.,F,determina il numero massimo delle persone trasportabili.,V,rilascia la Licenza di Navigazione.,F,SICUREZZA DELLA NAVIGAZIONE
341,,L'imbarcazione da diporto iscritta è sottoposta a visita occasionale:,l'unità stessa viene iscritta in un registro straniero.,F,l'unità stessa deve affrontare una navigazione di trasferimento.,F,se ne verifica la necessità.,V,SICUREZZA DELLA NAVIGAZIONE
342,,"Superata la prima scadenza del certificato di sicurezza, ogni quanti anni deve essere sottoposta a visita un'imbarcazione da diporto ai fini del rinnovo del certificato medesimo?",8 anni.,F,5 anni.,V,10 anni.,F,SICUREZZA DELLA NAVIGAZIONE
343,,La licenza è sottoposta a convalida?,"si, ogni 3 anni.",F,"si, ogni 5 anni.",F,"no, si convalida il certificato di sicurezza.",V,SICUREZZA DELLA NAVIGAZIONE
344,,I natanti da diporto sono soggetti al rilascio del certificato di sicurezza?,"sì, ogni 3 anni.",F,"sì, ogni 5 anni.",F,"no, non sono soggetti.",V,SICUREZZA DELLA NAVIGAZIONE
346,,La convalida del certificato di sicurezza di un'imbarcazione da diporto va effettuata:,ogni qualvolta viene varata.,F,ogni 20 anni.,F,nel caso in cui l'unità abbia subito gravi avarie o siano state apportate innovazioni.,V,SICUREZZA DELLA NAVIGAZIONE
347,,Quali tra questi requisiti sono necessari per il rinnovo del certificato di sicurezza di un'unità da diporto?,rilascio di apposita attestazione di idoneità da parte della Motorizzazione Civile territoriale.,F,rilascio di apposita attestazione di idoneità da parte di un Organismo Tecnico affidato.,V,rilascio di apposita attestazione di idoneità da parte dell'Ufficio Marittimo.,F,SICUREZZA DELLA NAVIGAZIONE
348,,Il certificato di sicurezza:,si rinnova di diritto ogni 3 anni.,F,si rinnova ogni 5 anni.,V,si rinnova quando richiesto dall'Organismo Tecnico affidato.,F,SICUREZZA DELLA NAVIGAZIONE
349,,"Il Certificato di Sicurezza di un'unità da diporto, in caso di primo rilascio:",ha validità di otto anni dall'immatricolazione per le unità appartenenti alle categorie di progettazione A e B.,V,ha validità di cinque anni dall'immatricolazione per le unità appartenenti alle categorie di progettazione A e B.,F,"ha validità di cinque anni dall'immatricolazione per le unità appartenenti alle categorie di progettazione A, B e C.",F,SICUREZZA DELLA NAVIGAZIONE
350,,"Il Certificato di Sicurezza di un'unità da diporto, in caso di primo rilascio,",ha validità di otto anni dall'immatricolazione per le unità appartenenti alle categorie di progettazione C e D.,F,ha validità di dieci anni dall'immatricolazione per le unità appartenenti alle categorie di progettazione C e D.,V,"ha validità di cinque anni dall'immatricolazione per le unità appartenenti alle categorie di progettazione B, C e D.",F,SICUREZZA DELLA NAVIGAZIONE
351,,Il certificato di sicurezza di un'unità da diporto:,riporta il certificato di stazza per le imbarcazioni non omologate.,F,è rinnovato con cadenza annuale.,F,è rinnovato in occasione delle visite periodiche.,V,SICUREZZA DELLA NAVIGAZIONE
353,,Un'unità da diporto munita di marcatura CE classe B effettua la prescritta visita periodica dopo:,10 anni dalla data di immatricolazione; le successive ogni 5 anni.,F,8 anni dalla data di immatricolazione; le successive ogni 5 anni.,V,10 anni dalla data di costruzione; le successive ogni 8 anni.,F,SICUREZZA DELLA NAVIGAZIONE
354,,In quale documento viene annotato l'esito della visita eseguita dall'Organismo Tecnico notificato?,certificato di sicurezza.,V,licenza di navigazione.,F,manuale del proprietario.,F,SICUREZZA DELLA NAVIGAZIONE
355,,Quale affermazione è vera tra le alternative di risposta sotto riportate?,la patente nautica è sempre obbligatoria.,F,il certificato di sicurezza è soggetto a scadenza.,V,la licenza di navigazione è soggetta a scadenza.,F,SICUREZZA DELLA NAVIGAZIONE
356,,"In caso di falla, quale operazione è la più corretta tra quelle riportate nelle seguenti alternative risposta:",imbarcare acqua per compensare la pressione.,F,tamponare la falla dall’esterno in modo che la pressione dell’acqua non faccia spostare il “tappo” di fortuna.,V,sbandare l'unità sul lato della falla.,F,SICUREZZA DELLA NAVIGAZIONE
357,,Quando può verificarsi l'incaglio volontario?,quando si arrestano gli apparati di radio comunicazione.,F,quando si decide volontariamente di disattivare gli apparati di radio navigazione.,F,"quando si conduce volontariamente l'unità navale ad incagliarsi per scongiurare un potenziale naufragio derivante da una falla, un incendio o una collisione con un'altra unità.",V,SICUREZZA DELLA NAVIGAZIONE
358,,Quali fattori devono essere tenuti in debita considerazione per procedere alle operazioni di disincaglio?,"tipo e rilievo dei fondali, entità dell'avaria subita, manovra più idonea da porre in essere in relazione alle caratteristiche dell'unità e del luogo in cui si è verificato il sinistro.",V,altezza del bordo libero.,F,tipo di timone di cui dispone l'unità navale.,F,SICUREZZA DELLA NAVIGAZIONE
360,,"Avuto riguardo alla falla, quale tra queste affermazioni è corretta?",se si verifica una falla nella parte prodiera è opportuno arrestare il moto dell'unità navale per evitare che l'avanzamento della stessa possa incrementare l'afflusso d'acqua nel suo interno.,V,se si verifica una falla a prua è opportuno aumentare la velocità dell'unità navale per diminuire il flusso dell'acqua che tende ad allagare i compartimenti prodieri.,F,se si verifica una falla a prua è opportuno spostare i pesi longitudinalmente verso proravia.,F,SICUREZZA DELLA NAVIGAZIONE
361,,Quale tra queste procedure può essere effettuata nel caso in cui un'unità abbia subito una falla di lieve entità?,azionare la pompa di alimentazione.,F,azionare la pompa di sentina.,V,azionare la pompa di iniezione.,F,SICUREZZA DELLA NAVIGAZIONE
362,,Quale tra queste affermazioni è corretta?,a seguito della presenza di una falla può aumentare la rigidità dello scafo dovuta all'effetto osmotico.,F,la falla può compromettere la galleggiabilità dell'unità navale in quanto si verifica una riduzione della riserva di spinta dell'unità stessa.,V,a seguito della presenza di una falla può aumentare la rigidità del fasciame dovuta all'effetto capillare.,F,SICUREZZA DELLA NAVIGAZIONE
363,,Quale soluzione può essere adottata al fine di disincagliare un'unità navale?,attendere il sopraggiungere dell'alta marea.,V,mettere in folle il motore.,F,imbarcare pesi lungo la verticale del punto d'incaglio.,F,SICUREZZA DELLA NAVIGAZIONE
364,,Quale accorgimento può essere adottato al fine di ostruire al meglio una falla di notevoli dimensioni?,travasare carburante nella zona ubicata a proravia della linea trasversale dell'unità navale.,F,"tamponare la via d'acqua servendosi di materiali ingombranti quali, tele cerate, materassi ecc..",V,limitare l'ingresso d'acqua dalla falla sbandando l'unità navale sul medesimo lato a quello dove si è verificata la stessa.,F,SICUREZZA DELLA NAVIGAZIONE
365,,Quale tra le seguenti manovre può essere la più efficace per limitare i danni allorquando due unità sono in procinto di collidere?,appennellare l'ancora e filare a mare l'ancora galleggiante.,F,azionare preventivamente tutti gli apparati di radiocomunicazione.,F,"fermare il motore ed eventualmente ingranare la marcia indietro accostando contemporaneamente, per attenuare l'impatto.",V,SICUREZZA DELLA NAVIGAZIONE
